id,project_slug,case_id,site_id,entity_id,role,evidence_document,is_named_applicant,true_proponent,proponent_known,notes,fact_status,source_id,confidence,as_of_date
11,project-apollo-data-centre-macquarie-park,,,ENT_GOODMAN,named_applicant,"Schedule 1, signed Development Consent (project_apollo_data_centre_macquarie_park.txt)",1,Goodman,1,Schedule 1 of the signed consent names Goodman Property Services (Aust) Pty Limited as the Applicant. The named applicant is the identifiable operator.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
12,roberts-road-data-centre,SSD-10330,,ENT_CDC,named_applicant,"Schedule 1, signed Development Consent (roberts_road_data_centre.txt)",1,CDC,1,Schedule 1 of the signed consent names Canberra Data Centres Pty Ltd as the Applicant. The named applicant is the identifiable operator.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
13,talavera-road-data-centre-campus-expansion,,,ENT_MACQUARIE_DC,named_applicant,"Schedule 1, signed Development Consent (talavera_road_data_centre_campus_expansion.txt)",1,Macquarie Data Centres,1,Schedule 1 of the signed consent names Macquarie Data Centres Pty Ltd as the Applicant. The named applicant is the identifiable operator.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
14,1-5-khartoum-road-data-centre,,,ENT_ARUP,cfd_modelling,attachment-c-arup-summary-advice-cfd-modelling-7; attachmentc-arupsummaryadviceoncfdmodelling-14; -15; response-rficfd17dec2025-final-2,0,,0,"CFD (computational fluid dynamics) modelling advice, plus a December 2025 RFI response. CFD is the evidence base for thermal plume dispersion and heat rejection impact on neighbouring land uses. Evidence tier: ATTACHMENT FILENAME only - the document itself was not opened, so authorship is inferred from the filename and graded accordingly (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
15,apollo-place-data-centre,,,ENT_ARUP,other,appendix-c7-arup-technical-note-206 through -212 (7 notes),0,,0,"Seven sequentially numbered Arup technical notes as EIS appendices on the project whose Schedule 1 applicant is the EMKC Cubed Management SPV. Evidence tier: ATTACHMENT FILENAME only - the document itself was not opened, so authorship is inferred from the filename and graded accordingly (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
16,mamre-road-data-centre-campus,,,ENT_AURECON,other,appendix-d5-plant-and-equipment-systems-report-aurecon; -0,0,,0,"Plant and equipment systems report. This is the appendix that would specify cooling plant and back-up generation - the two things the NSW Guidelines now regulate most tightly. Mamre Road is the largest campus in the NSW register at 321 archived attachments. Evidence tier: ATTACHMENT FILENAME only - the document itself was not opened, so authorship is inferred from the filename and graded accordingly (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
17,dicker-data-warehouse-and-distribution-centre,,,ENT_WSP,other,wsp-letter,0,,0,"Single WSP letter. Low evidentiary weight; recorded for completeness. Evidence tier: ATTACHMENT FILENAME only - the document itself was not opened, so authorship is inferred from the filename and graded accordingly (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
18,talavera-road-data-centre-mod-1-expansion,,,ENT_RENZO_TONIN,acoustic_consultant,appendix-3-renzo-tonin-response-acoustic-queries-22,0,,0,"Renzo Tonin Acoustics responding to acoustic queries on a Macquarie Data Centres campus expansion. Evidence tier: ATTACHMENT FILENAME only - the document itself was not opened, so authorship is inferred from the filename and graded accordingly (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
19,davis-road-data-centre-cundall,,,ENT_CUNDALL,other,bcs-advice-davis-road-data-centrecundall-8,0,,0,"Technical advice authored on the same project for which Cundall is the Schedule 1 named applicant. Evidence tier: ATTACHMENT FILENAME only - the document itself was not opened, so authorship is inferred from the filename and graded accordingly (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
20,digico-syd1-data-centre-expansion,,,ENT_PEER_REVIEW_UNKNOWN,peer_reviewer,a14-acoustic-peer-review-15,0,,0,INDEPENDENT PEER REVIEW of the acoustic assessment. One of only three identifiable peer reviews across 63 projects. The reviewing firm is not named in the filename. Evidence tier: ATTACHMENT FILENAME only (RG-073).,REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
21,lane-cove-west-data-centre-mod-3-design-changes,,,ENT_PEER_REVIEW_UNKNOWN,peer_reviewer,peer-review-acoustic-assessment-25 (alongside appendix-d9-acoustic-assessment-105/-106 and appendix-4-acoustic-assessment-24),0,,0,"Peer review of the acoustic assessment, on a project carrying three separate acoustic assessments. Evidence tier: ATTACHMENT FILENAME only (RG-073).",REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
22,modification-1-51-huntingwood-drive-data-centre-reduced-scale,,,ENT_PEER_REVIEW_UNKNOWN,peer_reviewer,appendix-b4-acoustic-review-statement-47; -48,0,,0,Two acoustic review statements on the modification that REDUCED the scale of the 632 MW-back-up Huntingwood Drive facility. Evidence tier: ATTACHMENT FILENAME only (RG-073).,REPORTED,SRC_ATTACHMENT_CONSULTANTS,medium,2026-09-18
