id,name,state,market,status,operator,land_or_asset_owner,anchor_tenant,max_capacity_mw,total_capacity_mw,it_capacity_mw,capital_cost_aud,construction_jobs,operational_jobs,connection_type,nca_status,network_business_id,pue_design,battery_mwh,onsite_gas_mw,genset_count,genset_total_mw,diesel_storage_kl,emission_standard,demand_response_pct,cooling_technology,water_source,annual_water_kl,wue_design,nearest_cable_ls_name,nearest_cable_ls_km,fact_status,confidence,as_of_date
SITE_CDC_KEMPS,CDC Kemps Creek (new filing),NSW,NEM,lodged,CDC Data Centres,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-08-05
SITE_CLOUDCARRIER_SH,Cloud Carrier Southern Highlands Data Campus,NSW,NEM,lodged,Cloud Carrier,,,700.0,,,,,,behind_the_meter_gas,,,,,673.0,,,,,,,,,,,,REPORTED,high,2026-03-27
SITE_DR_ERSKINE,"Digital Realty Erskine Park (SYD10, SYD11, SYD14)",NSW,NEM,operational,Digital Realty,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_DCI_SYD01,DCI SYD-01 Eastern Creek,NSW,NEM,operational,DCI Data Centers,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_MACQ_IC3,Macquarie IC3 'Super West' (Macquarie Park),NSW,NEM,operational,Macquarie Technology Group,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_MACQ_IC12,Macquarie IC1 / IC2 Strategic Enclaves (Sydney),NSW,NEM,operational,Macquarie Technology Group,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_EQUINIX_SYD,Equinix Sydney (SY3-SY7),NSW,NEM,operational,Equinix,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_TELSTRA_STLEON,Telstra St Leonards Strategic Enclave,NSW,NEM,operational,Telstra,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_STOCKLAND_MP,Stockland Macquarie Park Stage 1 data centre,NSW,NEM,under_construction,,,,,,,264000000.0,,,,,,,,,,,,,,,,,,,,CLAIMED,low,2026-09-18
SITE_NEXTDC_M4,NEXTDC M4 Melbourne (Fishermans Bend),VIC,NEM,approved,NEXTDC,,,,,162.0,2000000000.0,,,,,,,,,,,,,,,,,,,,REPORTED,high,2026-01-31
SITE_CDC_LAVERTON,CDC Laverton campus (Melbourne south-west),VIC,NEM,under_construction,CDC Data Centres,,,,,150.0,2700000000.0,,,,,,,,,,,,,,,,,,,,REPORTED,high,2025-02-18
SITE_CDC_BROOKLYN,CDC Brooklyn (Melbourne),VIC,NEM,operational,CDC Data Centres,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_AIRTRUNK_MEL1,AirTrunk MEL1 (Derrimut),VIC,NEM,operational,AirTrunk,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_DR_MEL11,Digital Realty MEL11 (Deer Park),VIC,NEM,operational,Digital Realty,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_NEXTDC_M123,NEXTDC M1 / M2 / M3 Melbourne,VIC,NEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,high,2026-09-18
SITE_EQUINIX_MEL,"Equinix Melbourne (ME1, ME2, ME4)",VIC,NEM,operational,Equinix,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_MELTON_SYNCLINE,Syncline Energy Melton data centre hub (proposed),VIC,NEM,lodged,Syncline Energy,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_SOUTH_MORANG,"South Morang data centre (approved, ~A$1bn)",VIC,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIMED,low,2026-08-01
SITE_WESTERN_DOWNS,Western Downs Digital Park,QLD,NEM,lodged,,Wambo Cattle Company Pty Limited,Anthropic,2160.0,3240.0,2160.0,31900000000.0,1500,,hybrid,,,,,,,,,,,air_cooled,mixed,,,,,VERIFIED,high,2026-09-18
SITE_CDC_CANBERRA,"CDC Canberra (Fyshwick F1-F2, Hume H1-H5)",ACT,NEM,operational,CDC Data Centres,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_MACQ_FAIRBAIRN,Macquarie IC4 / IC5 Fairbairn (ACT),ACT,NEM,operational,Macquarie Technology Group,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_NEXTDC_C1,NEXTDC C1 Canberra,ACT,NEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_EQUINIX_CA1,Equinix CA1 Canberra,ACT,NEM,operational,Equinix,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_TELSTRA_DEAKIN,Telstra Deakin Strategic Enclave (ACT),ACT,NEM,operational,Telstra,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_NEXTDC_P12,NEXTDC P1 / P2 Perth,WA,WEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_EQUINIX_PER,"Equinix Perth (PE2, PE3)",WA,WEM,operational,Equinix,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_WA_1GW,Proposed ~1 GW WA renewable-powered data centre,WA,WEM,rumoured,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,CLAIMED,low,2026-09-01
SITE_NEXTDC_A1,NEXTDC A1 Adelaide,SA,NEM,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_NEXTDC_D1,NEXTDC D1 Darwin,NT,NT,operational,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_MS_AU_FLEET,"Microsoft Australia datacentre fleet (29 sites, 3 Azure regions)",Multi,Multi,operational,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIMED,high,2026-04-23
SITE_AWS_AU_FLEET,"AWS Australia (Sydney and Melbourne regions, 2025-29 build)",Multi,Multi,under_construction,Amazon Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIMED,high,2025-06-14
SITE_MSFT_KEMPS,Microsoft Kemps Creek Data Centre Campus,NSW,NEM,operational,Microsoft,,,,,190.0,1300000000.0,,,transmission,,ENT_TRANSGRID,,,,61,,,not recorded on the portal project summary; consent conditions and any environment protection licence to be retrieved (research gap RG-008),,,,,,,,VERIFIED,high,2026-09-18
SITE_MSFT_HONEMAN,Honeman Close Data Centre,NSW,NEM,lodged,Microsoft Datacentre (Australia) Pty Ltd,,,96.0,,96.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_GLENDENNING,Glendenning Road Data Centre,NSW,NEM,approved,,,,235.0,235.0,,,,,distribution,,,,,,,267.45,2353.0,"NOx below 10 t/yr as NO2-equivalent, 45 m vertical stacks, annual rotational emissions testing to EPA Approved Methods, and POEO (Clean Air) Regulation 2022 compliance via best practice",,,,,,,,VERIFIED,high,2026-09-18
SITE_NEXTDC_S4,NEXTDC S4 Data Centre Horsley Park,NSW,NEM,approved,NEXTDC,,,,294.0,,,,,distribution,,,,,,,360.0,5261.0,"NOx below 5.5 t/yr as NO2-equivalent INCLUDING testing and commissioning, 38.7 m vertical stacks, annual emissions testing, Tier standard referenced - the strictest in the sample",,,,,,,,VERIFIED,high,2026-09-18
SITE_NEXTDC_S5,NEXTDC S5 Data Centre and Innovation Hub,NSW,NEM,lodged,NEXTDC,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_STACK_LOCKWOOD,STACK 78 Lockwood Road Data Centre,NSW,NEM,lodged,STACK Infrastructure Australia Pty Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,medium,2026-09-18
SITE_STOCKLAND_DAVIS,Stockland 2 Davis Road Data Centre,NSW,NEM,lodged,Stockland,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,medium,2026-09-18
SITE_STOCKLAND_FIFE,Stockland Fife Kemps Creek Data Centre,NSW,NEM,lodged,Stockland,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,medium,2026-09-18
SITE_STOCKLAND_PROJA,Stockland 'Project A' Data Centre,NSW,NEM,lodged,Stockland,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,medium,2026-09-18
SITE_AIMS_BELLA,AIMS Bella Vista Data Centre Campus,NSW,NEM,lodged,AIMS Capital Management Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,medium,2026-09-18
SITE_GOODMAN_ATLAS,Project Atlas Data Centre Eastern Creek,NSW,NEM,lodged,Goodman Property Services (Aust) Pty Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_GSDC_SYD1S2,GreenSquare DC SYD1 (Stage 2),NSW,NEM,lodged,GreenSquare DC Pty Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,medium,2026-09-18
SITE_LANE_COVE_MARS,Mars Road Data Centre,NSW,NEM,pre_lodgement,Lane Cove DC Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_ECHIDNA,Project Echidna Data Centre Eastern Creek,NSW,NEM,approved,,,,35.0,,35.0,,,,distribution,,,,,,,53.2,,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_TURNER_RD,52 Turner Road Data Centre,NSW,NEM,withdrawn,,,,40.0,,40.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_PLUMPTON_HUB,Victorian AI Hub (Plumpton),VIC,NEM,pre_lodgement,Syncline Energy,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,REPORTED,medium,2026-09-18
SITE_PROJECT_DUKE,Project Duke Data Centre,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_51_HUNTINGWOOD,51 Huntingwood Drive Data Centre,NSW,NEM,approved,,,,,,,,,,distribution,,,,,,,632.0,,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_AUGUSTA_ST,Augusta Street Data Centre,NSW,NEM,withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_EC_EXPANSION,Eastern Creek Data Centre Expansion Project,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_ROBERTS_RD,Roberts Road Data Centre,NSW,NEM,approved,CDC Data Centres,,,,,,,,,distribution,,,,,,,170.0,2353.0,"no NOx mass cap, no stack height requirement and no annual emissions testing condition found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_STATION_RD,Station Road Data Centre Expansion,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_43_61_TURNER,43-61 Turner Road Data Centre,NSW,NEM,approved,,,,,,,,,,distribution,,,,,,,74.0,2353.0,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_KURRI_KURRI,"Kurri Kurri Data Centre (Loxford, former aluminium smelter site)",NSW,NEM,pre_lodgement,,,,540.0,,540.0,,,,transmission,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_GRAND_AVE,"Grand Avenue Data Centre Expansion, Rosehill",NSW,NEM,approved,Equinix,,,,,,,,,distribution,,,,,,,53.2,,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_KHARTOUM,1-5 Khartoum Road Data Centre,NSW,NEM,approved,,,,35.0,,35.0,,,,distribution,,,,,,,84.0,2353.0,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_23_25_WATERLOO,23-25 Waterloo Road Data Centre,NSW,NEM,pre_lodgement,,,,70.0,,70.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_JULIUS_AVE,Julius Avenue Data Centre,NSW,NEM,lodged,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_MACQUARIE_PARK_DC,Macquarie Park Data Centre,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_PROJECT_APOLLO,Project Apollo Data Centre Macquarie Park,NSW,NEM,approved,Goodman Property Services (Aust) Pty Ltd,,,,135.0,,,,,distribution,,,,,,,185.0,2353.0,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_ROAD_1,Road 1 Data Centre,NSW,NEM,lodged,,,,34.3,,34.3,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_TALAVERA,Talavera Road Data Centre Campus Expansion,NSW,NEM,approved,Macquarie Technology Group,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_WATERLOO_ESR,Waterloo Road Data Centre (ESR Developments),NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_ORIORDAN,"22 O'Riordan Street, Alexandria - Data Centre",NSW,NEM,pre_lodgement,,,,38.0,,38.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_DIGICO_SYD1,DigiCo SYD1 Data Centre Expansion,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_PROJECT_PLUTO,Project Pluto Data Centre,NSW,NEM,approved,,,,126.0,,126.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_DAVIS_RD_CUNDALL,Davis Road Data Centre (Cundall),NSW,NEM,approved,,,,180.0,,180.0,,,,distribution,,,,,,,181.92,,"no NOx mass cap, no stack height requirement and no annual emissions testing condition found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_NEXTDC_S4_P2,"NEXTDC S4 Data Centre Phase 2, Horsley Park",NSW,NEM,pre_lodgement,NEXTDC,,,134.4,,134.4,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_APOLLO_PLACE,Apollo Place Data Centre,NSW,NEM,approved,,,,,45.0,,,,,distribution,,,,,,,63.8,2353.0,"no NOx mass cap, no numerically stated concentration limit and no stack height requirement found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_LANE_COVE_WEST,Lane Cove West Data Centre,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_MOWBRAY_RD,Mowbray Road Data Centre,NSW,NEM,withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_PROJECT_MARS,Project Mars Data Centre,NSW,NEM,lodged,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_ALDINGTON,Aldington Road Data Centre,NSW,NEM,pre_lodgement,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_KC1,"KC1 Data Centre, Kemps Creek",NSW,NEM,pre_lodgement,,,,144.0,,144.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_STACK_SYD01,"STACK SYD01 Data Centre, Erskine Park",NSW,NEM,lodged,STACK Infrastructure Australia Pty Ltd,,,450.0,,450.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_DCI_POPLARS,DCI Poplars Data Centre Project,NSW,NEM,approved,DCI Data Centers,,,,,,,,,distribution,,,,,,,35.0,2353.0,"no NOx mass cap, no stack height requirement and no annual emissions testing condition found in the consent text",,,,,,,,VERIFIED,high,2026-09-18
SITE_BROOKHOLLOW,"Brookhollow Avenue Data Centre Expansion, Norwest",NSW,NEM,lodged,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_FREDERICK_ST,Frederick Street Data Centre,NSW,NEM,pre_lodgement,,,,81.0,,81.0,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_LANCELEY,"Lanceley Place Data Centre, Artarmon",NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_DICKER_DATA,Dicker Data Warehouse and Distribution Centre,NSW,NEM,approved,,,,,,,,,,,,,,,,,,,,,,,,,,,VERIFIED,high,2026-09-18
SITE_ZERRA_MELB,"Zerra DC Melbourne campus (former automotive plant site, reported)",VIC,NEM,rumoured,Zerra DC,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIMED,low,2026-09-18
SITE_IPSWICH_10ST,"Ten-storey data centre outside Brisbane (Ipswich, reported)",QLD,NEM,rumoured,,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIMED,low,2026-09-18
