id,name,legal_name,entity_type,domicile,hq_country,asx_ticker,website,notes,fact_status,source_id,confidence,as_of_date
ENT_TRANSGRID,Transgrid,,network_business,Australia,AU,,transgrid.com.au,NSW transmission network service provider; describes itself as pension fund-owned. Publisher of the Network Capacity Allocation Policy and the 20 August 2026 Sydney Basin Network Capacity Update.,REPORTED,SRC_TRANSGRID26,high,2026-09-18
ENT_AUSGRID,Ausgrid,,network_business,Australia,AU,,ausgrid.com.au,Placeholder: distribution-level connection data for Western Sydney data centres not yet captured.,GAP,SRC_TRANSGRIDCAP,low,2026-09-18
ENT_SYDNEYWATER,Sydney Water,,utility,Australia,AU,,sydneywater.com.au,Named in S7 planning documents as a possible recycled-water supplier; projected data centre demand equivalent to ~25% of Greater Sydney's yearly drinking water supply by 2035.,REPORTED,SRC_ABC_WATER,high,2026-09-18
ENT_CONEXA,coNEXA,,utility,Australia,AU,,,Privately owned recycled water company named as a possible S7 supplier.,REPORTED,SRC_REUTERS_S7,medium,2026-09-18
ENT_AEMO,AEMO,,regulator,Australia,AU,,aemo.com.au,System operator and NEM planner; first disclosed data centre connection queue statistics in QED Q1 2026.,REPORTED,SRC_AEMO26,high,2026-09-18
ENT_AEMC,AEMC,,regulator,Australia,AU,,aemc.gov.au,,REPORTED,SRC_AEMC,high,2026-09-18
ENT_AER,Australian Energy Regulator,,regulator,Australia,AU,,aer.gov.au,Assesses network investment for prudence and efficiency - a check on cost recovery from data centres.,REPORTED,SRC_NSWGUIDE26,medium,2026-09-18
ENT_ORIGIN,Origin Energy,,utility,Australia,AU,ORG,,Placeholder for PPA counterparty mapping; specific AirTrunk-Origin contracts not yet verified.,GAP,SRC_AIRTRUNK_PPA,low,2026-09-18
ENT_BLACKSTONE,Blackstone,,pe_firm,United States,US,,blackstone.com,"Leads the AirTrunk consortium through Blackstone Real Estate Partners, Blackstone Infrastructure Partners, Blackstone Tactical Opportunities and its private equity strategy for individual investors. Describes itself as the largest data center provider in the world.",REPORTED,SRC_AIRTRUNK_BC,high,2026-09-18
ENT_CPP,CPP Investments (Canada Pension Plan Investment Board),,super_fund,Canada,CA,,cppinvestments.com,12% interest in AirTrunk.,REPORTED,SRC_CPP,high,2026-09-18
ENT_MACQUARIE_AM,Macquarie Asset Management,,investor,Australia,AU,,,Former holder (with PSP Investments) of the 88% AirTrunk stake sold in 2024.,REPORTED,SRC_INFRAINV,high,2026-09-18
ENT_PSP,PSP Investments,,super_fund,Canada,CA,,,Former AirTrunk co-holder; exited in the 2024 transaction.,REPORTED,SRC_INFRAINV,high,2026-09-18
ENT_IFM,IFM Investors,,super_fund,Australia,AU,,ifminvestors.com,"Owner of the 'Summit' landholding at 706-752 Mamre Road, Kemps Creek - the site of Australia's largest proposed data centre. Australian industry-superannuation capital.",REPORTED,SRC_IA_MAMRE,high,2026-09-18
ENT_ISPT,ISPT (Core Fund),,investor,Australia,AU,,ispt.com.au,Listed the Mamre Road property as 'Summit'; a superannuation-owned property manager. Relationship to IFM Investors' stated ownership needs reconciliation - see research_gaps.,REPORTED,SRC_DCD_MAMRE,medium,2026-09-18
ENT_FUTUREFUND,Future Fund,,sovereign_wealth,Australia,AU,,,34.55% of CDC Data Centres after February 2025.,REPORTED,SRC_CDC2025,high,2026-09-18
ENT_INFRATIL,Infratil,,investor,New Zealand,NZ,,,"49.75% of CDC Data Centres - the largest single shareholder, NZ-listed infrastructure investor.",REPORTED,SRC_CDC2025,high,2026-09-18
ENT_CSC,Commonwealth Superannuation Corporation,,super_fund,Australia,AU,,,Retains 12.04% of CDC after running the late-2024 sale process that tested international bids.,REPORTED,SRC_CDC2025,high,2026-09-18
ENT_AUSTRALIANSUPER,AustralianSuper,,super_fund,Australia,AU,,australiansuper.com,Placeholder: domestic superannuation exposure to data centres (including via Vantage Europe and reported 2024 commitments) not yet traced. See research_gaps RG-004.,GAP,SRC_CERTSTRAT,low,2026-09-18
ENT_MAMRE_OWNER,CDC management / Greg Boorer,,other,Australia,AU,,,3.66% of CDC as the largest individual shareholder.,REPORTED,SRC_CDC2025,medium,2026-09-18
ENT_DISR,"Department of Industry, Science and Resources (Cth)",,government_agency,Australia,AU,,,,VERIFIED,SRC_DISR,high,2026-09-18
ENT_OFFICE_AI,"Office of AI (Commonwealth, PM&C)",,government_agency,Australia,AU,,,Announced 15 July 2026 to sit within the Department of the Prime Minister and Cabinet and coordinate a whole-of-government approach to AI standards.,REPORTED,SRC_REUTERS_AI,high,2026-09-18
ENT_NSW_DPHI,"NSW Department of Planning, Housing and Infrastructure",,regulator,Australia,AU,,,,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
ENT_NSW_EPA,NSW Environment Protection Authority,,regulator,Australia,AU,,,,REPORTED,SRC_IA_MAMRE,high,2026-09-18
ENT_NSW_TREASURY,NSW Treasury (Office of the Treasurer),,government_agency,Australia,AU,,,Treasurer Daniel Mookhey announced the NSW Data Centre Guidelines and fast-track pathway.,REPORTED,SRC_ABCNSW26,medium,2026-09-18
ENT_IPART,IPART (Independent Pricing and Regulatory Tribunal NSW),,regulator,Australia,AU,,,Commissioned to review water pricing for data centres to protect network users and manage drought risk.,REPORTED,SRC_ABCNSW26,medium,2026-09-18
ENT_VIC_DJSIR,"Victorian Department of Jobs, Skills, Industry and Regions",,government_agency,Australia,AU,,,,VERIFIED,SRC_VICPLAN,high,2026-09-18
ENT_EPA_VIC,Environment Protection Authority Victoria,,regulator,Australia,AU,,,,VERIFIED,SRC_EPAVIC,high,2026-09-18
ENT_DTA,Digital Transformation Agency,,government_agency,Australia,AU,,,Administers the Hosting Certification Framework (Certified Strategic / Certified Assured).,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
ENT_CISC,Critical Infrastructure Security Centre (Home Affairs),,regulator,Australia,AU,,,,VERIFIED,SRC_CISC,high,2026-09-18
ENT_CER,Clean Energy Regulator,,regulator,Australia,AU,,cleanenergyregulator.gov.au,"Administers the National Greenhouse and Energy Reporting scheme, the Renewable Energy Target (LGCs) and the Safeguard Mechanism - the three datasets the Observatory uses to test renewable claims.",REPORTED,SRC_AFR_NGER,high,2026-09-18
ENT_FIRB,Foreign Investment Review Board / Treasurer (Cth),,regulator,Australia,AU,,,,VERIFIED,SRC_BC_DEAL,high,2026-09-18
ENT_NSWLC,NSW Legislative Council Portfolio Committee (data centres inquiry),,government_agency,Australia,AU,,,,VERIFIED,SRC_NSWINQ,high,2026-09-18
ENT_PENRITH_CC,Penrith City Council,,council,Australia,AU,,,"Objected to the Mamre Road campus, arguing the site is 'not suitable for a proposed development of this scale'.",REPORTED,SRC_IA_MAMRE,high,2026-09-18
ENT_MELTON_CC,City of Melton,,council,Australia,AU,,,,REPORTED,SRC_MELTONCC,low,2026-09-18
ENT_WESTERN_DOWNS,Western Downs Regional Council,,council,Australia,AU,,,,REPORTED,SRC_ABC_WD,medium,2026-09-18
ENT_ENERGY_QLD,Energy Queensland,,utility,Australia,AU,,,,REPORTED,SRC_ABC_WD,medium,2026-09-18
ENT_STOPTHESLOP,Stop the Slop,,community_group,Australia,AU,,,Western Sydney campaign opposing data centre expansion in residential suburbs; spokesperson Sophie Shanaaz.,REPORTED,SRC_ABCNSW26,high,2026-09-18
ENT_GREENPEACE,Greenpeace Australia Pacific,,other,Australia,AU,,,Submission No 120 to the NSW data centres inquiry; publisher of 'Energy Vampires' (May 2026).,REPORTED,SRC_GREENPEACE_SUB,high,2026-09-18
ENT_CLIMATECOUNCIL,Climate Council,,other,Australia,AU,,,Modelled +26% NSW power prices by 2035 without new renewable generation and storage.,REPORTED,SRC_BB2026,high,2026-09-18
ENT_NCC,Nature Conservation Council NSW,,other,Australia,AU,,,Recommended disclosure of water projections at the planning stage and a bar on siting in water-poor areas.,REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
ENT_MAMRE_SCHOOL,Mamre Anglican School (Anglican Schools Corporation),,other,Australia,AU,,,"Directly across the road from the Summit site; raised air quality, noise and emergency-incident concerns; has identified an alternative site and sought government help to relocate.",REPORTED,SRC_IA_MAMRE,high,2026-09-18
ENT_CATH_PARRA,Catholic Church of the Diocese of Parramatta,,other,Australia,AU,,,"Objected to the Mamre Road proposal, citing cumulative impacts, emergency access, servicing resilience and stormwater feasibility affecting Emmaus Retirement Village.",REPORTED,SRC_IA_MAMRE,high,2026-09-18
ENT_CATH_SCHOOLS,Catholic Schools Parramatta Diocese,,other,Australia,AU,,,Did not object in principle but sought limits on air quality impacts and diesel generator testing outside school hours and peak outdoor activity periods.,REPORTED,SRC_IA_MAMRE,high,2026-09-18
ENT_DATA_CENTRES_AU,Data Centres Australia,,industry_body,Australia,AU,,,"Sector-specific peak body. Launched on 28 November 2025 and grew out of five data centre operators that began meeting about two and a half years earlier; its members represent 86 per cent of operational data centre capacity in Australia. CEO Belinda Dennett gave evidence to the NSW Legislative Council inquiry on 1 May 2026. DISTINCT FROM AND PARALLEL TO the Business Council of Australia: DCA is the data-centre-only voice while the BCA is the general large-employer peak body whose board includes AirTrunk's founder-CEO. Per AFR reporting the BCA counts AirTrunk but NOT NEXTDC among its members, and Equinix joined the industry campaign in November 2025. The two bodies made near-identical quantified claims to the same inquiry - no subsidies or tax incentives, and low water use - which is worth noting because they are separately constituted and separately funded.",VERIFIED,SRC_INQ_T_0501,high,2026-09-18
ENT_VFF,Victorian Farmers Federation,,industry_body,Australia,AU,,,"Reported estimate that data centres proposed for Victoria would demand nine gigawatts, equivalent to four Loy Yang power stations. Secondary reporting only - primary VFF document required.",CLAIMED,SRC_MELTONCC,low,2026-09-18
ENT_SUBCO,SUBCO Consortium,,telecom,Australia,AU,,,"Reported SMAP east-west 'hypercable' from March 2026 with NEXTDC, CDC, Equinix and AirTrunk as anchors. Unverified.",CLAIMED,SRC_SUBCO,low,2026-09-18
ENT_OX2,OX2,,developer,Sweden,SE,,,Counterparty to the Google-AirTrunk-OX2 renewable arrangement (Dec 2023).,REPORTED,SRC_AIRTRUNK_PPA,medium,2026-09-18
ENT_GLOBALSWITCH,Global Switch Australia,,colocation_operator,United Kingdom,GB,,globalswitch.com,"NGER controlling corporation 'Global Switch Australia Holdings Pty Limited' (2022-23) and 'Global Switch Australia Pty Limited' (earlier years). Reported location-based scope 2 of 78,961 t CO2-e in 2023-24 and does not appear in the 2024-25 corporate publication - either below the publication threshold or reporting under a different controlling corporation. Operates a large facility in the Sydney market.",VERIFIED,SRC_CER_NGERS,high,2026-09-18
ENT_FUJITSU_AU,Fujitsu Australia,,colocation_operator,Japan,JP,,fujitsu.com/au,"NGER controlling corporation 'Fujitsu Australia Ltd'. The only Australian data centre operator besides NEXTDC to report market-based scope 2 to the CER (2024-25: 28,945 t against 55,228 t location-based, a 47.6% reduction, reported as covering all eligible facilities). Fujitsu is a broader IT services group, so the figure is not attributable to data centres alone.",VERIFIED,SRC_CER_MARKETS2,high,2026-09-18
ENT_MSFT_DC_AU,Microsoft Datacentre (Australia) Pty Ltd,Microsoft Datacentre (Australia) Pty Ltd,developer,United States,US,,,"The NSW proponent entity for Microsoft's Kemps Creek data centre (SSD-10101987) and the counterparty to the Penrith City Council Voluntary Planning Agreement executed 7 June 2023. Registered address on planning documents: Level 27, 1 Denison Street, Macquarie Park. Microsoft's Australian footprint is reported at 29 sites across three Azure regions.",VERIFIED,SRC_MSFT_STAGING,high,2026-09-18
ENT_AMAZON_COMM,Amazon Commercial Services Pty Ltd,Amazon Commercial Services Pty Ltd,developer,United States,US,,,"Amazon's Australian operating entity; the 'Global Realty' function within it acquires and develops data centre sites. Distinct from Amazon Corporate Services Pty Ltd, which is the NGER controlling corporation reporting 405,217 t of location-based scope 2 in 2024-25. No Australian data centre planning consent has yet been attributed to it in this database (research gap RG-023).",REPORTED,SRC_NSW_IDA,medium,2026-09-18
ENT_KNBDC,KNBDC entity group (KNBDC AU Development / AU Financing Holdco / per-project trusts),"KNBDC AU DEVELOPMENT PTY LTD (ABN 34 687 116 098, ACN 687 116 098)",developer,Unknown - not resolvable from public registers,,,,"The proponent structure behind the Mamre Road Data Centre Campus. Incorporated in a tight cluster between 3 April and 19 June 2025, all registered in NSW 2060 (North Sydney). Structure is a textbook project-finance stack: an AU Financing Holdco, an AU Development company, then per project a Land Trust, a Hold Trust, an Intermediate Hold Trust and a FinCo - replicated for SYD4 (Mamre Road), MEL3 and a Melbourne expansion. The SYD4 trustee company is NBDC PTY LTD (ACN 606 821 452), incorporated 1 July 2015, which predates the 2025 stack and is therefore a reused or acquired shelf trustee. A web search for 'KNBDC' returns no results at all: the sponsor is not publicly identified anywhere. ABR publishes no shareholding, so beneficial ownership requires a paid ASIC company extract (research gap RG-036). The 'SYD4' naming matches the site code reportedly used by AirTrunk for this campus and North Sydney is consistent with a Sydney-based hyperscale platform, but that inference is NOT verified and is recorded as such.",VERIFIED,SRC_ABR_KNBDC,medium,2026-09-18
ENT_STACK_AU,STACK Infrastructure Australia Pty Ltd,STACK Infrastructure Australia Pty Ltd,developer,United States,US,,stackinfra.com,"Named by the NSW Government as proponent of the 78 Lockwood Road Data Centre, Penrith City Council LGA, endorsed in IDA Round 1.",VERIFIED,SRC_NSW_IDA,high,2026-09-18
ENT_GOODMAN,Goodman Property Services (Aust) Pty Ltd,Goodman Property Services (Aust) Pty Ltd,developer,Australia,AU,,goodman.com,"Named by the NSW Government as proponent of 'Project Atlas Data Centre', Blacktown City Council LGA, endorsed in IDA Round 1. An industrial property group rather than a data centre operator, which is characteristic of the shell-and-tenant structure the sector runs on.",VERIFIED,SRC_NSW_IDA,high,2026-09-18
ENT_AIMS,AIMS Capital Management Ltd,,investor,Australia,AU,,,"Named by the NSW Government as proponent of the Bella Vista Data Centre Campus, Hills Shire Council LGA, endorsed in IDA Round 1.",VERIFIED,SRC_NSW_IDA,high,2026-09-18
ENT_GSDC,GreenSquare DC Pty Ltd,GREENSQUAREDC PTY LIMITED,developer,Australia,AU,,,"ABN 18 656 101 861, Australian private company, NSW 2000 (Sydney CBD). Named by the NSW Government as proponent of SYD1 (Stage 2), Hills Shire Council, in IDA Round 1.",VERIFIED,SRC_ABR_MISC,high,2026-09-18
ENT_STOCKLAND,Stockland,,developer,Australia,AU,SGP,stockland.com.au,"Named by the NSW Government as proponent for three endorsed projects: 2 Davis Road Wetherill Park (Fairfield), Kemps Creek via 'Stockland Fife Kemps Creek' (Penrith), and 'Project A' (City of Ryde). A listed property group, again consistent with the shell-and-tenant structure.",VERIFIED,SRC_NSW_IDA,high,2026-09-18
ENT_LEHR,Lehr Consultants International (Australia) Pty Ltd,LEHR CONSULTANTS INTERNATIONAL (AUSTRALIA) PTY LTD,other,Australia,AU,,,"Named as the APPLICANT in Schedule 1 of the signed Development Consent SSD-73761707 for the 235 MW Glendenning Road Data Centre, and as the proponent in the NSW IDA Round 1 release. ABR search returns 'LEHR CONSULTANTS INTERNA...' at ABN 92 124 107 973 among 20 matches. Lehr is a planning, engineering and environment consultancy, so the named applicant is an agent rather than the developer or the end user. The actual developer remains unidentified in public documents - research gap RG-022.",VERIFIED,SRC_SSD73761707_CONSENT,medium,2026-09-18
ENT_LANE_COVE_ALLIANCE,Lane Cove DC Alliance,,developer,Australia,AU,,,"Named by the NSW Government as proponent of the Lane Cove Data Centre Development Project at 16-20 Mars Road, Lane Cove West, endorsed in IDA Round 1. This is the industrial park where residents report an operating data centre 350 m from homes with four further facilities in the pipeline.",VERIFIED,SRC_NSW_IDA,medium,2026-09-18
ENT_SYNCLINE,Syncline Energy,SYNCLINE ENERGY PTY. LTD.,developer,Australia,AU,,,"ABN 26 117 458 803, Australian private company, active from 7 December 2005, GST registered from the same date, main business location VIC 3000 (Melbourne CBD). Proponent of the Plumpton 'Victorian AI hub' (350 ha, reported 2.4 GW maximum across four buildings) and linked by local reporting to the Melton proposal. A company incorporated in 2005 proposing 2.4 GW of AI load - more than Loy Yang A - is itself worth noting: the entity predates the AI data centre market by nearly two decades, so either it has been repurposed or it is a vehicle. Ownership requires an ASIC extract.",VERIFIED,SRC_ABR_MISC,high,2026-09-18
ENT_NBDC,NBDC Pty Ltd,NBDC PTY LTD,other,Australia,AU,,,"ABN 16 606 821 452, ACN 606 821 452, active from 1 July 2015, NSW 2103. The corporate trustee for the KNBDC SYD4 Hold, Land and Intermediate Hold trusts. Predates the KNBDC stack by a decade, which is characteristic of a shelf or nominee trustee.",VERIFIED,SRC_ABR_KNBDC,high,2026-09-18
ENT_WILLOWTREE,Willowtree Planning (NSW) Pty Ltd,WILLOWTREE PLANNING (NSW) PTY LTD,other,Australia,AU,,,"ABN 54 146 035 707, active from 27 August 2010. Authored the Mamre Road EIS (finalised February 2026) and appears as the ABN on the Glendenning Road pre-application document PDA-67670218. Recording this matters because it establishes that the same consultancy prepared the EIS for both of Western Sydney's largest data centre proposals, and because an ABN appearing on a portal document is not evidence of who the developer is - the first attempt to resolve the Glendenning proponent this way returned the EIS author, not the proponent.",VERIFIED,SRC_ABR_MISC,high,2026-09-18
ENT_PAWC,NSW Legislative Council Public Accountability and Works Committee,,government_agency,Australia,AU,,,"The committee running the Inquiry into Data Centres. Chair Abigail Boyd MLC (The Greens). Members: Hon Mark Buttigieg MLC (ALP), Hon Scott Farlow MLC (Liberal, substituting for Hon Damien Tudehope MLC from 30 March 2026), Hon Taylor Martin MLC (Independent, substituting for Hon Mark Latham MLC from 6 May 2026), Hon Jacqui Munro MLC (Liberal, substituting for Hon Sarah Mitchell MLC from 1 February 2026), Hon Peter Primrose MLC (ALP), Hon Emily Suvaal MLC (ALP, substituting for Hon Dr Sarah Kaine MLC from 26 March 2026). Report due 3 November 2026. Note this is a different body from the entity already recorded as ENT_NSWLC.",VERIFIED,SRC_INQ_TOR,high,2026-09-18
ENT_UDIA,Urban Development Institute of Australia (NSW),,industry_body,Australia,AU,,,"Gave evidence on 22 May 2026 through Mr Gavin Melvin, Executive Director Policy and Strategy. The housing-sector voice in the inquiry, and the source of the strongest quantified evidence that data centre water demand competes with housing delivery.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
ENT_UNIONS_NSW,Unions NSW,,industry_body,Australia,AU,,,"Gave evidence on 22 May 2026 through Mr Tom Edwards, Research and Policy Officer, with Mr Con Tsiaoulas also appearing. Recommends local content quotas and apprentice quotas for data centres and their associated renewable energy, at no less than the standards set by the Renewable Energy Sector Board, plus training, work health and safety and industrial standards.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
ENT_BUSINESS_NSW,Business NSW,,industry_body,Australia,AU,,,Gave evidence on 22 May 2026 through Mr Dan Hunter (CEO) and Mr David Borger. Cited the Oxford Economics phantom demand research alongside Data Centres Australia.,VERIFIED,SRC_INQ_T_0522,high,2026-09-18
ENT_PREMIERS_DEPT,NSW Premier's Department,,government_agency,Australia,AU,,,"Secretary Mr Simon Draper PSM gave evidence on 22 May 2026. The department made NO submission to the inquiry despite an invitation, and despite budget estimates evidence that a government submission was expected.",VERIFIED,SRC_INQ_T_0522,high,2026-09-18
ENT_INFRA_NSW,Infrastructure NSW,,government_agency,Australia,AU,,,Chief Executive Mr Tom Gellibrand gave evidence on 22 May 2026. Publisher of the NSW Data Centre Guidelines.,VERIFIED,SRC_INQ_T_0522,high,2026-09-18
ENT_LCRPG,Lane Cove Responsible Planning Group,,community_group,Australia,AU,,,Mr Peter Ephraums gave evidence on 22 May 2026. Community planning group in the Lane Cove / lower north shore corridor where an operating data centre sits 350 m from homes and the NSW Government has IDA-endorsed a further project at 16-20 Mars Road.,VERIFIED,SRC_INQ_T_0522,high,2026-09-18
ENT_LANE_COVE_COUNCIL,Lane Cove Council,,council,Australia,AU,,,"Deputy Mayor Ms Rochelle Flood gave evidence on 8 May 2026. Lane Cove LGA contains five data centre SSD records, one approved with four modifications including a fuel storage modification, one withdrawn, and one at Prepare EIS.",VERIFIED,SRC_INQ_T_0508,high,2026-09-18
ENT_SWELTERING,Sweltering Cities,,community_group,Australia,AU,,,"Executive Director Ms Emma Bacon gave evidence on 29 May 2026. Urban heat advocacy organisation, relevant to the cumulative microclimate impact Blacktown City Council raised in its objection to SSD-73761707.",VERIFIED,SRC_INQ_T_0529,high,2026-09-18
ENT_ENDEAVOUR,Endeavour Energy,,network_business,Australia,AU,,,Distribution network service provider for parts of Greater Sydney including the Blacktown LGA where the 235 MW Glendenning Road data centre was consented; it submitted standard DA conditions on that application. General Manager Future Grid and Asset Management Mr Colin Crisafulli and others gave evidence on 29 May 2026.,VERIFIED,SRC_INQ_T_0529,high,2026-09-18
ENT_IPART2,IPART,,regulator,Australia,AU,,,"Data Centres Australia told the committee on 1 May 2026 that IPART 'dismissed' Sydney Water's projection that data centres could use 25 per cent of Sydney's water by 2035 as 'unverifiable'. That characterisation of IPART's position has NOT been checked against IPART's own determination and is recorded as a claim - research gap RG-042. Separately, the UDIA told the committee that Sydney Water's IPART determination funds it for 100,000 fewer homes over five years than the National Housing Accord target requires.",REPORTED,SRC_INQ_T_0501,low,2026-09-18
ENT_CARBONZERO,Carbon Zero Initiative,,other,Australia,AU,,,Not-for-profit focused on decarbonisation; Partner and Strategy Lead Mr Alexander Hoysted gave evidence on 22 May 2026. States that in February 2026 it convened a public principles process at the intersection of digital and energy infrastructure.,VERIFIED,SRC_INQ_T_0522,medium,2026-09-18
