id,case_id,project_slug,officer_name,officer_role,acting,consent_authority,delegation_date,decision_date,file_reference,notes,fact_status,source_id,confidence,as_of_date
40,SSD-66777221-Mod-3,mod-3-lanceley-place-data-centre-fire-access-and-switchroom,Dave Auster,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
41,SSD-41589232-Mod-1,modification-1-51-huntingwood-drive-data-centre-reduced-scale,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
42,SSD-66777221-Mod-2,modification-2-lanceley-place-data-centre,Dave Auster,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
43,SSD-13475973,mowbray-road-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
44,SSD-63741210,nextdc-s4-data-centre-horsley-park,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
45,SSD-108864209,nextdc-s4-data-centre-phase-2-horsley-park,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
46,SSD-63168959,nextdc-s5-data-centre-and-innovation-hub,Catriona Shirley,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
47,SSD-113934740,nextdc-s7-data-centre-eastern-creek,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
48,SSD-74069708,project-apollo-data-centre-macquarie-park,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
49,SSD-101067971,project-atlas-data-centre-eastern-creek,Rasmus Altenkamp,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
50,SSD-71368959,project-duke-data-centre,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
51,SSD-47320208,project-echidna-data-centre-eastern-creek,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
52,SSD-82052708,project-mars-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
53,SSD-69223466,project-pluto-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
54,SSD-80814238,road-1-data-centre,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
55,SSD-10330-Mod-1,roberts-road-data-centre-mod-1-height-increase,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
56,SSD-10330,roberts-road-data-centre,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
57,SSD-10330-Mod-2,roberts-road-dc-mod-2-additional-back-generators-and-diesel-storage,Jeffrey Peng,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
58,SSD-10330-Mod-4,roberts-road-dc-mod-4-changes-operational-infrastructure,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
59,SSD-82211208,stack-syd01-data-centre-erskine-park,Shaun Williams,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
60,SSD-33781208,station-road-data-centre-expansion,Patrick Copas,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
61,SSD-24299707,talavera-road-data-centre-campus-expansion,Joanna Bakopanos,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
62,SSD-24299707-Mod-1,talavera-road-data-centre-mod-1-expansion,Dave Auster,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
63,SSD-59516710,waterloo-road-data-centre-esr-developments,Joanna Bakopanos,case_planner,0,,,,,"Named as 'Planner' in field_party_role on the NSW planning portal node record. These are NSW assessment officers, not external consultants.",VERIFIED,SRC_PORTAL_PLANNERS,high,2026-09-18
64,SSD-73761707,glendenning-road-data-centre,Joanna Bakopanos,acting_director,1,Minister for Planning and Public Spaces,2026-08-18,2026-09-14,EF 24/10658,"Signed 'Joanna Bakopanos, A/Director, Industry Assessments, Sydney, 14 September 2026'. The instrument recites approval 'As delegate of the Minister for Planning and Public Spaces under delegation executed on 18 August 2026' - ONE DAY AFTER the NSW Data Centre Guidelines were published on 17 August 2026. This is the Observatory's benchmark post-Guidelines consent. Note the database elsewhere records the determination as 16 September 2026; the instrument is signed 14 September, and the 16th is presumed to be portal publication. Both are kept.",VERIFIED,SRC_CONSENT_DELEGATIONS,high,2026-09-18
65,SSD-74069708,project-apollo-data-centre-macquarie-park,Joanna Bakopanos,acting_director,1,Minister for Planning and Public Spaces,2026-08-18,2026-09-02,EF24/11318,Signed as Acting Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2026-09-02.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
66,SSD-69223466,project-pluto-data-centre,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2026-07-23,EF24/4596,Signed as A/Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2026-07-23.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
67,SSD-10330,roberts-road-data-centre,Anthea Sargeant,delegate_signatory,0,Minister for Planning and Public Spaces,2020-03-09,2020-07-14,EF19/17436,"Signed as Executive Director / Regions, Industry and Key Sites. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2020-07-14.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
68,SSD-41589232,51-huntingwood-drive-data-centre,Chris Ritchie,delegate_signatory,0,Minister for Planning and Public Spaces,2022-03-09,2023-09-15,,Signed as Director / Industry Assessments. Determination date from instrument:cover:'Sydney <date>'. Portal registration 2023-09-15.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
69,SSD-33781208,station-road-data-centre-expansion,Chris Ritchie,delegate_signatory,0,Minister for Planning,2022-03-09,2022-12-16,EF21/18706,Signed as Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2022-12-16.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
70,SSD-69637456,digico-syd1-data-centre-expansion,Chris Ritchie,delegate_signatory,0,Minister for Planning and Public Spaces,2022-03-09,2025-12-23,,"Signed as Executive Director / Energy, Resources and Industry Assessments. Determination date from instrument:cover:'Sydney <date>'. Portal registration 2025-12-23.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
71,SSD-63741210,nextdc-s4-data-centre-horsley-park,Chris Ritchie,delegate_signatory,0,Minister for Planning and Public Spaces,2022-03-09,2025-12-24,,"Signed as Executive Director / Energy, Resources and Industry Assessments. Determination date from instrument:cover:'Sydney <date>'. Portal registration 2025-12-24.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
72,SSD-8662,dicker-data-warehouse-and-distribution-centre,Anthea Sargeant,delegate_signatory,0,Minister for Planning,2017-10-11,2019-04-12,DOC18/721211,Signed as Executive Director / Key Sites and Industry Assessments. Determination date from portal-node-metadata. Portal registration 2019-04-12.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
73,SSD-9741,lane-cove-west-data-centre,Anthea Sargeant,delegate_signatory,0,Minister for Planning and Public Spaces,2017-10-11,2019-11-15,EF19/4251,"Signed as Executive Director / Compliance, Industry and Key Sites. Determination date from portal-node-metadata. Portal registration 2019-11-15.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
74,SSD-10467,macquarie-park-data-centre,Chris Ritchie,delegate_signatory,0,Minister for Planning and Public Spaces,2021-04-26,2021-05-28,EF20/22600,Signed as Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2021-05-28.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
75,SSD-24299707,talavera-road-data-centre-campus-expansion,[Name of Commissioner],determination_authority,0,NSW Independent Planning Commission,,2024-01-19,EF21/10619,"PUBLISHED INSTRUMENT CARRIES UNFILLED TEMPLATE PLACEHOLDERS: the signature block reads '[Name of Commissioner]' three times with 'Member of the Commission' titles - the IPC determination as published does not name who decided it. Cover year-only date ('Sydney 2023 File: EF21/10619'); registered determination 2024-01-19 (portal, authority IPC-N). RG-085.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
76,SSD-47320208,project-echidna-data-centre-eastern-creek,Chris Ritchie,delegate_signatory,1,NSW Independent Planning Commission,2022-06-14,2024-04-05,,"Signed as A/Executive Director / Energy, Resources and Industry Assessments. Determination date from instrument:cover:'Sydney <date>'. Portal registration 2024-04-05. Only consent in the sample signed as delegate of the NSW Independent Planning Commission rather than the Minister.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
77,SSD-53338465,grand-avenue-data-centre-expansion-rosehill,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2024-12-16,EF23/341,Signed as A/Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2024-12-16.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
78,SSD-59416728,davis-road-data-centre-cundall,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2024-12-20,EF23/7568,Signed as A/Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2024-12-20.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
79,SSD-59416728-Mod-1,davis-rd-data-centre-mod-1-tree-removal-correction,Catriona Shirley,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2025-08-15,EF25/10654,Signed as A/Team Leader / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2025-08-15.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
80,SSD-67407231,apollo-place-data-centre,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2025-10-09,EF24/1723,"Signed as A/Director, Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2025-10-09.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
81,SSD-64287712,dci-poplars-data-centre-project-0,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2025-11-06,EF23/15259,Signed as A/Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2025-11-06. Cover page also records: 'Condition A9 amended on 28 November 2025 pursuant to agreement of Council on 2 December 2025 and the Applicant on 24 November 2025' - a post-determination amendment written into the published instrument.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
82,SSD-68013714,43-61-turner-road-data-centre,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2025-11-21,,Signed as A/Director / Industry Assessments. Determination date from instrument:cover:'Sydney <date>'. Portal registration 2025-11-21.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
83,SSD-63235720,1-5-khartoum-road-data-centre,Joanna Bakopanos,delegate_signatory,1,Minister for Planning and Public Spaces,2022-03-09,2026-03-11,EF23/14121,Signed as A/Director / Industry Assessments. Determination date from instrument:cover:'<date> File:<ref>'. Portal registration 2026-03-11.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
